業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
実行復旧業務	background 側リランフロー		実行設定の復元と再実行		元の execution-spec.json から復元して新しい run_id で起動する	情報	slot 実行				
実行復旧業務	background 側リランフロー		実行設定の復元と再実行		元の execution-spec.json から復元して新しい run_id で起動する	情報	Runner Result				
実行復旧業務	background 側リランフロー		実行設定の復元と再実行		元の execution-spec.json から復元して新しい run_id で起動する	条件	リランの実行設定復元				
実行復旧業務	background 側リランフロー		実行設定の復元と再実行		元の execution-spec.json から復元して新しい run_id で起動する	条件	リラン系譜の追跡				
実行復旧業務	background 側リランフロー		実行設定の復元と再実行		元の execution-spec.json から復元して新しい run_id で起動する	条件	Runner Result 完備条件				
実行復旧業務	background 側リランフロー		実行設定の復元と再実行		元の execution-spec.json から復元して新しい run_id で起動する	条件	成果物公開判定				
実行復旧業務	background 側リランフロー		実行設定の復元と再実行		元の execution-spec.json から復元して新しい run_id で起動する	画面	background-rerun 再実行出力	アクター	運用者		受益者
実行復旧業務	background 側リランフロー		実行設定の復元と再実行		元の execution-spec.json から復元して新しい run_id で起動する	イベント	復元設定によるリモート実行	外部システム	リモート実行ホスト(SSH)		
実行復旧業務	background 側リランフロー		実行設定の復元と再実行		元の execution-spec.json から復元して新しい run_id で起動する	イベント	現行実装スクリプトの再起動	外部システム	現行実装(blue)		
実行復旧業務	background 側リランフロー		実行設定の復元と再実行		元の execution-spec.json から復元して新しい run_id で起動する	イベント	新実装スクリプトの再起動	外部システム	新実装(green)		
実行復旧業務	background 側リランフロー		速報比較依頼の再作成		速報比較依頼だけを新規作成する	情報	リラン指示			--role が rapid-crosscheck のとき、業務ジョブを再実行せず、元の run の blue / green の成果物を対象とする速報比較依頼を新しい run_id で REQUESTED として作成し、parent_run_id で元の実行に紐付ける。作成後は速報クロスチェック worker の通常の claim と比較実行に委ねる。この parallel_run は速報比較依頼が終端状態(SUCCEEDED / FAILED)になった時点で worker が COMPLETED にする	
実行復旧業務	background 側リランフロー		速報比較依頼の再作成		速報比較依頼だけを新規作成する	情報	速報比較依頼(rapid_crosscheck_request)				
実行復旧業務	background 側リランフロー		速報比較依頼の再作成		速報比較依頼だけを新規作成する	情報	並行稼働実行(parallel_run)				
実行復旧業務	background 側リランフロー		速報比較依頼の再作成		速報比較依頼だけを新規作成する	情報	Runner Result				
実行復旧業務	background 側リランフロー		速報比較依頼の再作成		速報比較依頼だけを新規作成する	条件	リラン事前検証				
実行復旧業務	background 側リランフロー		速報比較依頼の再作成		速報比較依頼だけを新規作成する	条件	リラン系譜の追跡				
実行復旧業務	background 側リランフロー		速報比較依頼の再作成		速報比較依頼だけを新規作成する	条件	依頼状態遷移規則				
実行復旧業務	background 側リランフロー		速報比較依頼の再作成		速報比較依頼だけを新規作成する	画面	background-rerun 比較依頼再作成出力	アクター	運用者		受益者
適用構成業務	適用構成定義フロー		運用モードの設定		feature flag を設定する	情報	feature flag 設定			slot(blue / green)ごとの実行モード(foreground / background / off)と runner 割り当て、RAPID_CROSSCHECK_MODE(foreground / background / off)、実装版(BLUE_IMPL / GREEN_IMPL)、速報クロスチェックの runner / worker 実体(RAPID_CROSSCHECK_RUNNER / RAPID_CROSSCHECK_WORKER)を feature flag 設定として定義する。両 slot が foreground にならない組み合わせで並行稼働・単独本番・次世代実装との並行稼働を表現し、ジョブ定義の改修なしで運用モードを切り替える	
適用構成業務	適用構成定義フロー		運用モードの設定		feature flag を設定する	情報	slot runner 割当				
適用構成業務	適用構成定義フロー		運用モードの設定		feature flag を設定する	条件	foreground slot 排他				
適用構成業務	適用構成定義フロー		運用モードの設定		feature flag を設定する	条件	設定所有区分				
適用構成業務	適用構成定義フロー		運用モードの設定		feature flag を設定する	条件	速報クロスチェック有効判定				
適用構成業務	適用構成定義フロー		運用モードの設定		feature flag を設定する	条件	確報クロスチェック非起動				
適用構成業務	適用構成定義フロー		運用モードの設定		feature flag を設定する	画面	feature flag 設定検証出力	アクター	基盤適用設計者		提供者
